check,file,atol,bulk_failing,bulk_margin,bulk_values,combined_margin,files,max_absolute_error_below_atol,max_bound_fraction,max_relative_error_above_atol,near_zero_failing,near_zero_margin,near_zero_values,rtol,values,values_failing
gr-baseline,1_EFT_GR_scalarCovCls.dat,0.1,0,13.425599999912047,17425,167.50690000396102,1,1.0000000000287557e-07,0.005969903329214218,7.448456679824747e-06,0,999999.9999712444,73549,0.0001,90974,0
gr-baseline,1_EFT_GR_tensCls.dat,0.01,0,,6832,,1,0.0,0.0,0.0,0,,10663,0.0001,17495,0
gr-baseline,1_EFT_GR_totCls.dat,0.1,0,11.969100000187357,13947,27.497000000025015,1,1.0000000000287557e-07,0.03636760373855658,8.354847064393703e-06,0,999999.9999712444,3548,0.0001,17495,0
gr-baseline,1_EFT_GR_transfer_out.dat,1000.0,0,,1980,,1,0.0,0.0,0.0,0,,1296,0.0001,3276,0
horava,5_Horava_SolSyst_1_lensedCls.dat,0.1,0,19.49630000004544,13547,1019.496300002376,1,1.9999999999881224e-08,0.000980876536773767,5.129178356907051e-06,0,5000000.000029694,3448,0.0001,16995,0
horava,5_Horava_SolSyst_1_lensedtotCls.dat,0.1,0,17.654400000041143,13556,1017.6544000023719,1,1.0000000000287557e-07,0.0009826518708096474,5.664310313563018e-06,0,999999.9999712444,3439,0.0001,16995,0
horava,5_Horava_SolSyst_1_lenspotentialCls.dat,0.1,0,10.934799999831244,13947,1010.9347999843983,1,9.999999998899778e-08,0.0009891834765362048,9.145114679879221e-06,0,1000000.0001100223,14045,0.0001,27992,0
horava,5_Horava_SolSyst_1_matterpower.dat,1.0,0,,725,,1,0.0,0.0,0.0,0,,583,0.0001,1308,0
horava,5_Horava_SolSyst_1_scalCls.dat,100.0,0,11.488999999958205,9538,1011.4889999963203,1,9.999999999621423e-05,0.0009886414978350115,8.703977717848707e-06,0,1000000.0000378577,11456,0.0001,20994,0
horava,5_Horava_SolSyst_1_scalarCovCls.dat,0.1,0,19.565099999871826,17425,124.40579999940599,1,1.0000000000287557e-07,0.00803821043717234,5.111141777995263e-06,0,999999.9999712444,73549,0.0001,90974,0
horava,5_Horava_SolSyst_1_tensCls.dat,0.01,0,,6832,,1,0.0,0.0,0.0,0,,10663,0.0001,17495,0
horava,5_Horava_SolSyst_1_totCls.dat,0.1,0,10.934799999831244,13947,1010.9347999843983,1,9.999999998899778e-08,0.0009891834765362048,9.145114679879221e-06,0,1000000.0001100223,3548,0.0001,17495,0
horava,5_Horava_SolSyst_1_transfer_out.dat,1000.0,0,,1980,12711325791.285076,1,7.867000000000021e-08,7.866999999996877e-11,0.0,0,12711325791.279995,1296,0.0001,3276,0
horava,5_Horava_SolSyst_2_lensedCls.dat,0.1,0,6.016849999993982,13545,21.76629999952489,1,1.300000000002688e-06,0.045942580963316125,1.6619992188620293e-05,0,76923.07692291788,3450,0.0001,16995,0
horava,5_Horava_SolSyst_2_lensedtotCls.dat,0.1,0,5.898949999994101,13554,31.490400000744653,1,1.2999999999992184e-06,0.031755709675848925,1.6952169453902814e-05,0,76923.07692312317,3441,0.0001,16995,0
horava,5_Horava_SolSyst_2_lenspotentialCls.dat,0.1,0,7.10894999999289,13947,23.418300000021297,1,1.1099999999999131e-06,0.04270164785655195,1.4066774980848088e-05,0,90090.09009009715,14045,0.0001,27992,0
horava,5_Horava_SolSyst_2_matterpower.dat,1.0,0,,724,,1,0.0,0.0,0.0,0,,584,0.0001,1308,0
horava,5_Horava_SolSyst_2_scalCls.dat,100.0,0,10.260900000096822,9536,1016.6272999778091,1,0.00010000000000331966,0.0009836446454092153,9.745733804934889e-06,0,999999.9999668035,11458,0.0001,20994,0
