# BON2020_LIS spectra tabulated for shieldSim
# Source model: Badhwar-O'Neill 2020 LIS parameters (Z=1 and Z=2)
# Energy column: total kinetic energy [MeV]
# Flux columns: differential flux [particles / (m^2 sr s MeV)]
# NOTE:
#   proton flux is tabulated directly versus total kinetic energy (same as MeV/n for A=1)
#   alpha flux is converted from BON2020's MeV/n representation to total kinetic energy:
#       E_total = 4*T_n,  flux_per_MeV(total) = flux_per_MeV_per_nucleon / 4
# Columns:
#   E_MeV_total   proton_flux   alpha_flux
1.63843365e+04 1.19419559e-15 0.00000000e+00
1.66895601e+04 1.13720304e-15 0.00000000e+00
1.70004698e+04 1.08287439e-15 0.00000000e+00
1.73171713e+04 1.03108880e-15 0.00000000e+00
1.76397728e+04 9.81730665e-16 0.00000000e+00
1.79683839e+04 9.34689413e-16 0.00000000e+00
1.83031168e+04 8.89859302e-16 0.00000000e+00
1.86440853e+04 8.47139217e-16 0.00000000e+00
1.89914058e+04 8.06432483e-16 0.00000000e+00
1.93451965e+04 7.67646680e-16 0.00000000e+00
1.97055780e+04 7.30693472e-16 0.00000000e+00
2.00726730e+04 6.95488430e-16 0.00000000e+00
2.04466067e+04 6.61950876e-16 0.00000000e+00
2.08275063e+04 6.30003720e-16 0.00000000e+00
2.12155017e+04 5.99573313e-16 0.00000000e+00
2.16107251e+04 5.70589301e-16 0.00000000e+00
2.20133111e+04 5.42984483e-16 0.00000000e+00
2.24233968e+04 5.16694678e-16 0.00000000e+00
2.28411221e+04 4.91658597e-16 0.00000000e+00
2.32666291e+04 4.67817719e-16 0.00000000e+00
2.37000629e+04 4.45116171e-16 0.00000000e+00
2.41415712e+04 4.23500611e-16 0.00000000e+00
2.45913043e+04 4.02920125e-16 0.00000000e+00
2.50494154e+04 3.83326116e-16 0.00000000e+00
2.55160607e+04 3.64672205e-16 0.00000000e+00
2.59913992e+04 3.46914132e-16 0.00000000e+00
2.64755927e+04 3.30009666e-16 0.00000000e+00
2.69688063e+04 3.13918516e-16 0.00000000e+00
2.74712079e+04 2.98602242e-16 0.00000000e+00
2.79829688e+04 2.84024175e-16 0.00000000e+00
2.85042632e+04 2.70149339e-16 0.00000000e+00
2.90352688e+04 2.56944375e-16 0.00000000e+00
2.95761666e+04 2.44377468e-16 0.00000000e+00
3.01271407e+04 2.32418282e-16 0.00000000e+00
