model,a,A,eps2,cs2,rho_plus_p_scaled,udot,vdot,w_phi,H_km_s_Mpc
5_Kmimic_1,1.54881661891248134467161784112306986661576009163973447336209E-9,0.990000000000333439844765585360778815293554114975380993596169,4.04169508681437116403443886469649026626632026350195314969054E-13,0.333328897431704552539201343351150392212641827359125521337962,385862629553005777048163456161.868687730649465301904524801556,-1157587888658549498120994794483.4334694474142745364041755690,-385857494606849075326712704055.765261632462501054089259085158,0.333327418826050398100405374837657772417091155909675200832383,269638278736790507.704545986843172648953212207445485890624577
5_Kmimic_1,1.56675107010814910631304866812000921784412248066318981208216E-9,0.990000000000338078455064642741889676147842315196072540825646,4.09792066616473132260542483056119398184648747453406821391620E-13,0.333328846067124635764540488700945820046031996939377195747303,368496007229600193934944622386.438587538869019436033558251775,-1105488021688347589699791367882.7867018956450201576270464736,-368491046610405354519405711163.510067808410819979700794865315,0.333327350340582578946438175989362493283292722349266028587056,263500570165353723.626172581926419182515958123419922187176047
5_Kmimic_1,1.58489319246111348520210137339150701326944213382503906831630E-9,0.990000000000342781594860815115894285171036880307050590697787,4.15492842123687256493319729778832843381941694908901779440314E-13,0.333328794107787697885198759444119857247717163522925073249561,351911009738754726594101378928.920223717196381664708474111662,-1055733029215825557804797067123.9901796291518571694833378932,-351906217528272931697991414394.727675617599459075023934388608,0.333327281062120016876123090573946750495746765984450466621548,257502572806513130.898951142995937312844161221477751345767923
5_Kmimic_1,1.60324539069004149770990073266331917392628250269421426114349E-9,0.990000000000347550161848827285860341620333370925361176067360,4.21272923317895315957937585976330374235872504378021770169360E-13,0.333328741546807161742899091699546463116440988903550034035680,336072458233500150276715391984.415459147930970679849007384389,-1008217374700075743123860072846.5136558776970555809753184665,-336067828714401981139741100625.007446669321979037507545403928,0.333327210981480945903938637067245553582053633067823090505300,251641106445853261.078293285976605973754317404810930645029678
5_Kmimic_1,1.62181009735892997284779146105048495260603487200835250110194E-9,0.990000000000352385066211581620810552734461200803476639350635,4.27133413451098011647745049928531850486263337111687182353767E-13,0.333328688377216716243222409088258037861894303724938414077067,320946757173574246952375653493.003395423335990002010257139192,-962840271520311506026590739597.7503764121477268462185205375,-320942284822628645144772148349.795198253043569342593266525892,0.333327140089377295926149901785577689648541538637178454682642,245913063259464714.930064069749496883184759029633911771284472
5_Kmimic_1,1.64058977319953927518459438927166335460378865510230483077707E-9,0.990000000000357287230793885910360698505887153029541517288727,4.33075431123060135043465428378567232984581973601543944469672E-13,0.333328634591969393285490403207974448677469326867586568400715,306501823064956817069961089794.135750718095855475837974051516,-919505469194472261861738142974.1032026217647846804636847412,-306497502546441614119005403025.152310749132439218603459996412,0.333327068376413462141546700022375280133802806515238784804330,240315406166135205.051152016311411410010966659455056749668730
5_Kmimic_1,1.65958690743756063431023180237835066322178163799114849226755E-9,0.990000000000362257591278598014540609536279548263112737432877,4.39100110494819233134208243019568891461912419067401618376242E-13,0.333328580183936634008765887563112325043859218663264729819962,292707016406651378598569659563.889071421964362977109580072886,-878121049219568578094529350442.4977969491706732360756973092,-292702842565987532394561855722.454986885106568233124376269800,0.333326995833085060231208512382362921749009297634738400718739,234845167217049308.123719004470042886187149589336697643588325
5_Kmimic_1,1.67880401812256031397195008041558301076991423343025665869436E-9,0.990000000000367297096365220929767679420722883601529889272795,4.45208601505164474798839140685630084102995417509093526237325E-13,0.333328525145907344230367956646593099314870989005201156278115,279533076700363760898045638334.954718363094740075990383808670,-838599230100717955932341631107.7552436810311432341526320187,-279529044557965704229569436220.147727447293516924926982610935,0.333326922449777667132590260356831824001578375106766686484587,229499446022143124.351479675227143075504267290343693137908149
5_Kmimic_1,1.69824365246174435462537545159032174997588542174129873008206E-9,0.990000000000372406707950982359656799715810965833062460277099,4.51402070090127038163601419396947724535477630881723794071913E-13,0.333328469470586938951870505466495875967294136457862448964448,266952060385224608883722589027.453112990541013197399210537464,-800856181155312342832574746329.9049316110049043638170253098,-266948165130559373283748379331.672925257608152605849498579289,0.333326848216765547241320357801085373006633725329093379719775,224275408212279476.542708547525602168952151714736175684727758
5_Kmimic_1,1.71790838715758812955550650228451454336430246124048147436799E-9,0.990000000000377587401314433353571425460919259789180190244006,4.57681698405523913364973702489441500287974473640393961672301E-13,0.333328413150596375806107505061035028841138404654949036546679,254937281565907216441984874927.530035261365444381255477787908,-764811844697371632762546069594.7427168755578710767205746629,-254933518551755243604965995109.399856754044609525370160210980,0.333326773124210363872177922728588023756899558371574424719402,219170283936428273.828317374103788749552028141959414997336795
5_Kmimic_1,1.73780082874937546699959956171569013329550784645042659806944E-9,0.990000000000382840165301601056638367606501640491456482965897,4.64048685052597597956285224853162329123962629551918070334257E-13,0.333328356178471177317246596976515318532460779764549511174651,243463255408417267485577140724.847837094863661476965715291556,-730389766224912889378210541771.8272309726856499624618159140,-243459620145328061138277500001.798711329715485057179153826345,0.333326697162159875808769305326873170378379306220114834464074,214181366393055225.204372718989398186970386390415567779625883
5_Kmimic_1,1.75792361395869260891264193413509206844551095035023171550519E-9,0.990000000000388166002514731102455639915217716356725617381881,4.70504245306794753113834767831201057624642840672213965082295E-13,0.333328298546660441844513872660339807174049857520718308496949,232505644083489546459966979171.269279688694468053850623618960,-697516932250140477555634408224.4450040690131614299388393671,-232502132234425550022418459076.931166622806835398109916617037,0.333326620320546618769454929075630393563347934261167425618041,209306010394940225.807698487853802272867212196052522848235004
5_Kmimic_1,1.77827941003892280122542119519268484473579052640225535801183E-9,0.990000000000393565929503655674011313006416577903017532797530,4.77049611349727487935960646412723524446341409491259572988509E-13,0.333328240247525843078656948424532434777767653815028391826846,222041205142930489918894475130.635917392208369404014505824069,-666123615428473718129636685151.4084876626748128708900109898,-222037812518092799853943902247.456363776597869600681348473830,0.333326542589186571615085595170301503053609899652869994060703,204541630966664463.687588950650931706542185359444813690057130
5_Kmimic_1,1.79887091512878784072456977815639144986844791761391463199488E-9,0.990000000000399040976959823759496192746397754643113695118389,4.83686032504361546601045520816779621900387568370978399452912E-13,0.333328181273340617958720437033969161807204287192666773490152,212047742219406049176301057323.586536623444028407194791160337,-636143226657910475861188109812.6751248568449204180888712333,-212044464771235790864581850823.019247525156184454742228095387,0.333326463957777807122092606070567675394739560066815103689667,199885701974022616.224096992531037305510244233113678981028134
5_Kmimic_1,1.81970085860998344010368080629809388845752526192459430033117E-9,0.990000000000404592189913030637829902157284971951958228662108,4.90414775473476289073760261930517382137028153389214004314702E-13,0.333328121616288542875177454801833976220113976920546932615427,202504057945102667327120307478.249968512616604122361085460794,-607512173835010090511027592134.5456343158338016385652597163,-202500891763452069877790632359.745154179621714946549967190406,0.333326384415899127142438058898429437614742445721023534170984,195335754784633432.447888731744189948302222909849298588882506
5_Kmimic_1,1.84077200146895581536575543237409828911791280977179542844277E-9,0.990000000000410220627930884143925594172923585536948798653952,4.97237124581441980540517745899468563195300676593039511189586E-13,0.333328061268462898023912687806765157279237569820721588593141,193389908989395695759751081019.096293220513567459603630306728,-580169726967898626387968915619.8620673014506855992683029073,-193386850296863104626009348138.094183328724191630932048248406,0.333326303953008681969870177619097671532687841078396672509979,190889376959038539.313244051505791950907744757851484752084640
5_Kmimic_1,1.86208713666286744867177899780370848667784190090977289166370E-9,0.990000000000415927365321045786091394905251805088390015156946,5.04154382019360537934317838293331557595880595145103441067633E-13,0.333328000221865419773986569670217187821347794892667522533091,184685963120154268815631803686.954365887643687247888715284877,-554057889360183496338165595580.4550149306621669801644220622,-184683008267577530669394180160.203134810064450359027220364418,0.333326222558442573729843325448304515266624677133970913841073,186544210971595475.235112437967382814125308725809645077963699
5_Kmimic_1,1.88364908948980053500089115020874968506818458999333954629198E-9,0.990000000000421713491336285317606479610964813341981835750964,5.11167868093616523896774706156134071586674099919892923880401E-13,0.333327938468405240910526091126048886709708440186685761819126,176373758197604054327411798826.541403524979045676535672200416,-529121274592541713369832414807.8588795662269560046172731473,-176370903659706897592957399580.851599164543225373938194216128,0.333326140221413443608353093691922801971131258602214928595478,182297952960486751.494239192225393213404127154624467893861832
5_Kmimic_1,1.90546071796324718268801418399124123334035338370871858782325E-9,0.990000000000427580110382387901517509326432439380088998912761,5.18278921477885829443663990890755395593385730499044539794678E-13,0.333327875999897818612485460917508329045180377614638490857786,168435663013768507134540834738.622423350654930680363273387980,-505306989041043651209897813235.4614468132341898394184017818,-168432905384954724111819060428.095072929063347374554056290546,0.333326056931009042732803325105542486499474056618808234206015,178148351506182179.817192422613649549843691263055185816708723
5_Kmimic_1,1.92752491319093600610938707408720334006137592272762734309899E-9,0.990000000000433528342228953552179504573527228942619219074990,5.25488899468650146574051969639043946226516624577028985082853E-13,0.333327812808063850023399058546630545826349481431360621140148,160854839894423967300377177274.449594410347024368144802962499,-482564519683018338964898258966.5661938432318448080882615012,-160852175884714380142796015517.105187065014638511682434534117,0.333325972676190786515863820613943158291980727665811954242928,174093206437706790.735920525444804575830185206689340589742283
