model,a,function,first_analytic_vs_stencil,first_source_vs_analytic,second_source_vs_stencil
5_Kmimic_3,1E-7,u,8.52837396699220402960601073710114967381330254766516551976603E-24,6.48163222371237571701024752768696825912094358982290300033406E-58,2.84320433845698354077399767243133424622278603281417318570579E-24
5_Kmimic_3,1E-7,v,8.53333332333699613415873047247524395383681002965633046845695E-24,4.48669903492417183593947007377027898922439474570525487554407E-57,2.84444444211324099298396975888677893823515438056363145895663E-24
5_Kmimic_3,3.16227766016837933199889354443271853371955513932521682685750E-7,u,8.51767925761040790402853259386200344996673799014225011576026E-24,1.31151266353504311590350426570139495876332613753786257677674E-57,2.84052829492557263521777038499704612232866536999844169157668E-24
5_Kmimic_3,3.16227766016837933199889354443271853371955513932521682685750E-7,v,8.53333329338499863226583593271631470405357775082001194083869E-24,8.40980875089331279297236987512728174782808286352395597570634E-58,2.84444443513608099289102909070353457561965569603842121721976E-24
5_Kmimic_3,0.000001,u,8.48411654578670724325321525071127927267645471518219094701506E-24,8.78999593207114441547893412969690753367720927330964290689213E-58,2.83211422641626681201394185932885208181874385653079757579602E-24
5_Kmimic_3,0.000001,v,8.53333317294161955916272436734855451224545470468268298228860E-24,1.23285152180387175836765017878495598938514890156440417877606E-58,2.84444440717915732429482759998456504871527100107677993374486E-24
5_Kmimic_3,0.00000316227766016837933199889354443271853371955513932521682685750,u,8.38048531162737222891093234508608435234253093410787120288949E-24,4.48776153283897268934467875074849745754866615515110523944503E-58,2.80598042272344036562203173863802461610243022055996743084396E-24
5_Kmimic_3,0.00000316227766016837933199889354443271853371955513932521682685750,v,8.53333267831148865511264783314691014763647257542427719834034E-24,7.70532142898032838079570142134256921574651711641760672893397E-58,2.84444429361017776817575742389666162149192666694227846644463E-24
5_Kmimic_3,0.00001,u,8.07590463060322563331860742032588710709198753432472138470330E-24,1.03202614587789188393168030618120159119057386012511766766913E-57,2.72780035247260340421821212387898805399935414433918936250993E-24
5_Kmimic_3,0.00001,v,8.53333051859833620294582360699638147601518518131178718156058E-24,2.60219627911996901478042477587825247892840212433351750752842E-57,2.84444381290058449439947645898403159515749740099825380627642E-24
5_Kmimic_3,0.0000316227766016837933199889354443271853371955513932521682685750,u,7.29653608077332682854771585558778438717380043140995851078039E-24,1.24901794527073560222425144012286280226520834465877226630529E-58,2.51793753536658462046524801027310782778279157917075004651867E-24
5_Kmimic_3,0.0000316227766016837933199889354443271853371955513932521682685750,v,8.53331952171275659090700561645053235157231282960928215038905E-24,6.14663325402355798632220328702372229524007000637289496376948E-57,2.84444153932104783727493963603897527843106718371778455011419E-24
5_Kmimic_3,0.0001,u,5.85168569419039700864546408156465240464190639120437836430782E-24,2.85468068180653718722542078276631398306999155577358266797451E-58,2.08697444323627309296980505414568816035635181323244696519085E-24
5_Kmimic_3,0.0001,v,8.53324554337590966353856473369525445608844706668857926442366E-24,4.76403346041816182852794716391082886155971338814098135710056E-57,2.84442795804074300668939624317867439592093385783985923831933E-24
5_Kmimic_3,0.000316227766016837933199889354443271853371955513932521682685750,u,4.28065933062310492111816099190644968218025424511704539522738E-24,1.19303872844012805580149815186412661291724365845906647295066E-58,1.54430041525394168679433142183315257558549236468769775055931E-24
5_Kmimic_3,0.000316227766016837933199889354443271853371955513932521682685750,v,8.53257094334218047024408397195157269681418920055504638129545E-24,9.37755656495909026850605968768312186524815930569778633776227E-58,2.84431686782801615806325380307393057837115540660825487216156E-24
5_Kmimic_3,0.001,u,3.31382245995745446588377455187322218743831139770801081221886E-24,9.40107022887578636264902806259787054347204028721774910955287E-58,1.16349546168164786762838665236770059127012060025425811778384E-24
5_Kmimic_3,0.001,v,8.52510896947605203395460240060209957477043038776132904559058E-24,3.97187012762394178615754085549053144990305500027929445296843E-57,2.84315736203113721470446536579074810653072496515654430146834E-24
5_Kmimic_3,0.00316227766016837933199889354443271853371955513932521682685750,u,2.91022786739777500368505829924932271065001824822623547832286E-24,3.63057238959398478820958177421522353721259084400132438641895E-58,9.92053673550267345070403710552185643930690628083277171334825E-25
5_Kmimic_3,0.00316227766016837933199889354443271853371955513932521682685750,v,8.43635803215745286710722360546224574280072626199566625364422E-24,4.71595530906667842519037166352175026069676469049949863309709E-57,2.82958722154128756441604544796233752602654299949567049242411E-24
5_Kmimic_3,0.01,u,2.77225454065005133548143041503937812981487619865537339271671E-24,3.07454551119257934985886451178272379862510492873407543721023E-59,9.30910316277064969078779547217923350028557983914708005037478E-25
5_Kmimic_3,0.01,v,7.47852736719643927478506723101214410977803524167077508733347E-24,2.20467007272507454458717427590286099736095989519088166171882E-57,2.67311506079516650268873636145455444007142380745081402586956E-24
5_Kmimic_3,0.0316227766016837933199889354443271853371955513932521682685750,u,2.73915320223449809657351416671525468271628077764136795870458E-24,3.12070120660153799941459990981793315534181296438082126443255E-58,9.13113989764320907886451641403944795424172684678966610985423E-25
5_Kmimic_3,0.0316227766016837933199889354443271853371955513932521682685750,v,3.23532599293702330672483452493785362864012734768954783731326E-24,9.77631211104166654261542801332482758701746251289419061966883E-58,1.60473509540875799619843331715675959549616466014973911121366E-24
5_Kmimic_3,0.1,u,2.77693177838307242077451324587461296469126293729346606476705E-24,1.66788065351991665444817149718879718532879984556119757109647E-58,9.17058057218839761965505087396865690892823901960315396242950E-25
5_Kmimic_3,0.1,v,7.08773531983067334831452718567044309866727553785327612851351E-25,1.43521089672944749588783994122655013956981702780122643847645E-58,3.58610270044617404186393252521581531968635810127708035834943E-25
5_Kmimic_3,0.316227766016837933199889354443271853371955513932521682685750,u,2.99363118643224507415481484960645360252841437881014514726119E-24,1.37409581969081737345784674978051298018569493984127799934277E-57,9.58602593283431392060885726561821809265766601265239294587880E-25
5_Kmimic_3,0.316227766016837933199889354443271853371955513932521682685750,v,4.25487171276559419203951683124858763143270907649835769995586E-25,2.33011927787071624747214473671860846034759075852091816605775E-59,1.43505655367839680992447771902893808767454946443530076802132E-25
5_Kmimic_3,1,u,4.50121446107623963657247604810797290406891518466998933336304E-24,1.95617323610686594349803197494900600699880858071397827998822E-58,1.11152452881529816162214398974395912734319499222859514571947E-24
5_Kmimic_3,1,v,2.17775487138444534683688275461432374166220881848119655428555E-25,9.58637149648640023213502422652617560086049305838979824037689E-60,1.04645966781710971309527211719403569648361691560789064170948E-24
