model,arm,ic,a,H_saved,H_analytic,relative_H_residual
5_Kmimic_2,consistent-background-trace,nominal,0.0021544348376,400017.99691,400017.996913549964190356777688593364989806619884482405325882,8.87451119136517124973245536135845879900814521186324941337791E-12
5_Kmimic_2,consistent-background-trace,nominal,0.0046415889407,122314.73312,122314.733118570484957027729675227754542208600275054041117909,1.16871860528020610439136398435482252470777322666572973510977E-11
5_Kmimic_2,consistent-background-trace,nominal,0.0099999997765,38049.896532,38049.8965322165975758101589423399278240146845892414007260245,5.69246162408791826755546197295641516905728918363607045261194E-12
5_Kmimic_2,consistent-background-trace,nominal,0.10900000127,1045.0415724,1045.04157244180237465567920328996859939431758540276871796455,4.00006810810458432179175019034875058254444976784930443389915E-11
5_Kmimic_2,consistent-background-trace,nominal,0.20800000277,399.94141557,399.941415576751700621892936809491820065344964254903977697780,1.68817240699025224550600653469752101000977044076888955153840E-11
5_Kmimic_2,consistent-background-trace,nominal,0.30700001165,228.32375579,228.323755783806577134380245722310767744849356146072755811399,2.71256174995480275499423635998636086290495413920109289561718E-11
5_Kmimic_2,consistent-background-trace,nominal,0.40600000577,156.58041438,156.580414378048716925657705635945716924739936110023171946144,1.24618591799532978350154949644862722324392666730915570591428E-11
5_Kmimic_2,consistent-background-trace,nominal,0.50499999989,120.07040111,120.070401108009198906279676629701934977626822712893019313963,1.65802818622758856735034773331671873108726444733120288982434E-11
5_Kmimic_2,consistent-background-trace,nominal,0.60400002351,99.384870216,99.3848702163112406055377073838461261144396688965871374972961,3.13166988959478424493457637623472059219372026729007218802686E-12
5_Kmimic_2,consistent-background-trace,nominal,0.70299998813,86.845145144,86.8451451442483837112568195176701135761322757976563748442825,2.86007595294196565814706638159863360122612508875152100043648E-12
5_Kmimic_2,consistent-background-trace,nominal,0.80200001176,78.867928859,78.8679288583156226956264937927568015784773197296045023510260,8.67751079906048033682647035165856314014984534125560965493390E-12
5_Kmimic_2,consistent-background-trace,nominal,0.90099997637,73.596565828,73.5965658282905528334276772633161607908769585532480344082971,3.94791292443687126696892037495343296873235633063970558587385E-12
5_Kmimic_2,consistent-background-trace,nominal,1.0000000000,70.000000000,70.000000000000000000000000000000,0E-21
5_Kmimic_2,consistent-background-trace,variant,0.0000099999997474,6575939901.3,6575939901.24608954187036102925303665902923149480766095609034,8.19813729121541884353038209399982631686449410794282923109962E-12
5_Kmimic_2,consistent-background-trace,variant,0.000021544346486,1443086394.8,1443086394.87648021805866481287397050119870053727721251072603,5.29976710543453454469036484581765847098318701617252114230806E-11
5_Kmimic_2,consistent-background-trace,variant,0.000046415887724,322792020.04,322792020.045747938567811893101509654296238964718780464878229,1.78069413456914524799786936653835051839407841804364287381969E-11
5_Kmimic_2,consistent-background-trace,variant,0.00010000000443,74764000.714,74764000.7183464428210144690863013040842803124903812275970635,5.81355034408677570481127805317959120434753575045847991163916E-11
5_Kmimic_2,consistent-background-trace,variant,0.00021544346877,18297149.519,18297149.5187185234042685432127224011931930905343938823567308,1.53836309551478386909277793067866477659359637257386288072339E-11
5_Kmimic_2,consistent-background-trace,variant,0.00046415895732,4803440.6306,4803440.63067982696172345654768103555603314240029895706474306,1.66187047704092689304643511810788122087381893894838799641686E-11
5_Kmimic_2,consistent-background-trace,variant,0.0010000001139,1350675.2430,1350675.24303195706188788222440045206620401976181488578551620,2.36600634036542552442343609476951990701130706163889248376593E-11
5_Kmimic_2,consistent-background-trace,variant,0.0021544348376,400017.99691,400017.996913549964190356777688593364989806619884482405325882,8.87451119136517124973245536135845879900814521186324941337791E-12
5_Kmimic_2,consistent-background-trace,variant,0.0046415889407,122314.73312,122314.733118570484957027729675227754542208600275054041117909,1.16871860528020610439136398435482252470777322666572973510977E-11
5_Kmimic_2,consistent-background-trace,variant,0.0099999997765,38049.896532,38049.8965322165975758101589423399278240146845892414007260245,5.69246162408791826755546197295641516905728918363607045261194E-12
