model,a,k,grid_coordinate,grid_phase,phase_product,C,A1,adotoa,normalized_C
5_Kmimic_2,1.2692577262662252e-08,0.16998652963742641,122.49402954669026,0.4940295466902569,0.24996435368727618,-222714.64889506632,3076.898683237344,169.9886661379434,-0.002504930352885456
5_Kmimic_2,1.2969801971252902e-08,0.16635317379720355,123.53560130965025,0.5356013096502465,0.24873254675118725,-203928.0687331865,2946.7780672860617,166.3552977303101,-0.002500669549443408
5_Kmimic_2,1.3259407073580552e-08,0.16271981795698065,124.60017554133923,0.600175541339226,0.23996486091739302,-181015.38996120417,2819.4158453245486,162.72192046780745,-0.00242473477813797
5_Kmimic_2,1.3562240837155451e-08,0.15908646211675778,125.68879120253581,0.6887912025358105,0.2143578818450826,-148757.50163595632,2694.7530360165947,159.08852380335082,-0.002181133268015887
5_Kmimic_2,1.3879230830284166e-08,0.1554531062765349,126.80255925853226,0.8025592585322556,0.1584578950764117,-101151.27948484468,2572.712378126322,155.45509321601747,-0.001626935117572565
5_Kmimic_2,1.4211393413438474e-08,0.15181975043631202,127.94266950096953,0.9426695009695294,0.05404371291138781,-31729.616009794645,2453.1986604896874,151.82160988540187,-0.0005611318406915352
5_Kmimic_2,1.4559844653215491e-08,0.14818639459608915,129.11039828221246,0.11039828221245784,0.09821050149699635,-49050.507396155386,2337.44305196914,148.18829651197598,-0.0009555967281936164
5_Kmimic_2,1.492581285554928e-08,0.14455303875586628,130.30711711202085,0.30711711202084757,0.21279619152482174,-97717.73981280916,2224.895042357925,144.55505884978677,-0.0021018285904388138
5_Kmimic_2,1.5310653002130634e-08,0.14091968291564339,131.53430223532786,0.534302235327857,0.2488233566515123,-105041.8644069132,2114.677849870637,140.9217330884612,-0.0025012796744598663
5_Kmimic_2,1.571586340674695e-08,0.13728632707542052,132.79354525251105,0.793545252511052,0.16383118472822272,-63572.160792815666,2006.6205667202807,137.28828074913318,-0.001680872535561789
5_Kmimic_2,1.614310530715866e-08,0.13365297123519765,134.08656586126142,0.08656586126141974,0.07907221292548837,-26085.012699364273,1901.389225625194,133.65483084347264,-0.0007679814015180221
5_Kmimic_2,1.6594225869897376e-08,0.13001961539497475,135.4152266816372,0.41522668163719345,0.24281348449375825,-73598.69495700515,1800.1917894603173,130.02163015176657,-0.0024183553925210847
5_Kmimic_2,1.7071284531703044e-08,0.12638625955475188,136.7815483005965,0.781548300596512,0.1707305544312161,-47541.25123118166,1700.6979141792888,126.38819819469543,-0.0017499691133483067
5_Kmimic_2,1.757658432610805e-08,0.122752903714529,138.18772751184795,0.1877275118479531,0.15248589314332975,-36077.17184430897,1604.2362705317967,122.75481667216987,-0.0014924062866428828
5_Kmimic_2,1.8112709808974527e-08,0.11911954787430612,139.6361606376591,0.6361606376590885,0.2314602807522704,-50286.37409562913,1511.010765892134,119.12152659034777,-0.002345320838494441
5_Kmimic_2,1.8682570197132848e-08,0.11548619203408324,141.12946512322694,0.12946512322693593,0.11270390509477023,-20795.55127208686,1419.8028448651849,115.48805824604908,-0.0010981666150702305
5_Kmimic_2,1.9289453274491856e-08,0.11185283619386036,142.67051095435934,0.6705109543593437,0.2209260144434658,-37414.811199129035,1332.2689512669197,111.85478979957675,-0.0022446181965812446
5_Kmimic_2,1.9937087813779972e-08,0.10821948035363749,144.26245111318164,0.2624511131816405,0.19357052637135821,-27827.260986548747,1247.0319431096736,108.221402712362,-0.0019053140302631652
5_Kmimic_2,2.0629721364736272e-08,0.1045861245134146,145.90876320595083,0.9087632059508337,0.08291264146079631,-10934.472301559592,1164.3943899585652,104.58795480450068,-0.0008584883052504306
5_Kmimic_2,2.1372212398254645e-08,0.10095276867319172,147.61329245487167,0.6132924548716687,0.2371648196691509,-26534.015974305432,1085.3401228531595,100.95471209592617,-0.002398744206141103
5_Kmimic_2,2.2170145224671518e-08,0.09731941283296885,149.38030771276843,0.38030771276842756,0.23567375637727475,-22362.010234389654,1008.6228341917994,97.32134686121724,-0.0023408081706577616
